กอ	k ɔː
แทนทาลัม	tʰ ɛː n . tʰ aː . l a m 2
กังฉิน	k a ŋ . t͡ɕʰ i n 4
เชี่ยว	t͡ɕʰ i a̯ w 2
แล้วจึง	l ɛː w 3 . t͡ɕ ɯ ŋ
ซึง	s ɯ ŋ
ฟ้า	f aː 3
บงการ	b o ŋ . k aː n
ควักกะปิ	kʰ w a k̚ 3 . k a 1 . p i ʔ 1
ชื่อ	t͡ɕʰ ɯː 2
พระเจ้า	pʰ r a 3 . t͡ɕ aː w 2
วิจัย	w i 3 . t͡ɕ a j
แค้น	kʰ ɛː n 3
เอือม	ʔ ɯ a̯ m
เซเนกัล	s eː . n eː . k a l 2
ผลาญ	pʰ l aː n 4
แมลง	m a 3 . l ɛː ŋ
หนุมาน	h a 1 . n u 3 . m aː n
อูม	ʔ uː m
พัสดุ	pʰ a t̚ 3 . s a 1 . d u ʔ 1
เมษา	m eː . s aː 4
รูด	r uː t̚ 2
พ่อค้า	pʰ ɔː 2 . kʰ aː 3
คลำ	kʰ l a m
พร้อมมูล	pʰ r ɔː m 3 . m uː n
ธำมรงค์	tʰ a m . m a 3 . r o ŋ
ฉ้อราษฎร์บังหลวง	t͡ɕʰ ɔː 2 . r aː t̚ 2 . b a ŋ . l u a̯ ŋ 4
ภูมิใจ	pʰ uː m . t͡ɕ a j
ป่าไม้	p aː 1 . m aː j 3
หมุด	m u t̚ 1
รับของโจร	r a p̚ 3 . kʰ ɔː ŋ 4 . t͡ɕ oː n
เค้ง	kʰ eː ŋ 3
อาถรรพณ์	ʔ aː . tʰ a n 4
กวัก	k w a k̚ 1
จุดหมาย	t͡ɕ u t̚ 1 . m aː j 4
โปรตอน	p r oː . t ɔ n
อาทิตย์	ʔ aː . tʰ i t̚ 3
การค้า	k aː n . kʰ aː 3
เคืองใจ	kʰ ɯ a̯ ŋ . t͡ɕ a j
โคตร	kʰ oː t̚ 2
ความเข้าใจ	kʰ w aː m . kʰ a w 2 . t͡ɕ a j
รีเนียม	r iː . n i a̯ m 2
เฮติ	h eː . t i ʔ 1
ตอนบ่าย	t ɔː n . b aː j 1
ภูมิลำเนา	pʰ uː m . l a m . n a w
ความผิดหวัง	kʰ w aː m . pʰ i t̚ 1 . w a ŋ 4
ฆ่า	kʰ aː 2
ด้นถอยหลัง	d o n 2 . tʰ ɔ j 4 . l a ŋ 4
พฤฒิบาศ	pʰ r ɯ t̚ 3 . tʰ i 3 . b aː t̚ 1
ถาก	tʰ aː k̚ 1
แสวง	s a 1 . w ɛː ŋ 4
เลือก	l ɯ a̯ k̚ 2
คิดค้น	kʰ i t̚ 3 . kʰ o n 3
ลวก	l u a̯ k̚ 2
ลบหลู่	l o p̚ 3 . l uː 1
ผิดหวัง	pʰ i t̚ 1 . w a ŋ 4
โหร	h oː n 4
ผีไม่มีศาล	pʰ iː 4 . m a j 2 . m iː . s aː n 4
ขา	kʰ aː 4
ต่อรอง	t ɔː 1 . r ɔː ŋ
ฉนำ	t͡ɕʰ a 1 . n a m 4
กราม	k r aː m
ข่าวลือ	kʰ aː w 1 . l ɯː
โท	tʰ oː
พยาธิ	pʰ a 3 . j aː t̚ 2
เสมียน	s a 1 . m i a̯ n 4
ปี๊บ	p iː p̚ 3
ชะพลู	t͡ɕʰ a 3 . pʰ l uː
การตลาด	k aː n . t a 1 . l aː t̚ 1
เมี่ยง	m i a̯ ŋ 2
อภิชนาธิปไตย	ʔ a 1 . pʰ i 3 . t͡ɕʰ a 3 . n aː . tʰ i 3 . p a 1 . t a j
คันถธุระ	kʰ a n . tʰ a 1 . tʰ u 3 . r a ʔ 3
ตู้หนังสือ	t uː 2 . n a ŋ 4 . s ɯː 4
สัด	s a t̚ 1
กามโรค	k aː m . m a 3 . r oː k̚ 2
กะเพรา	k a 1 . pʰ r a w
ฟองสบู่	f ɔː ŋ . s a 1 . b uː 1
ง่าม	ŋ aː m 2
สภาสูง	s a 1 . pʰ aː . s uː ŋ 4
นอง	n ɔː ŋ
วิจิตรศิลป์	w i 3 . t͡ɕ i t̚ 1 . t r a 1 . s i n 4
ช้างตายทั้งตัวเอาใบบัวมาปิด	t͡ɕʰ aː ŋ 3 . t aː j . tʰ a ŋ 3 . t u a̯ . ʔ a w . b a j . b u a̯ . m aː . p i t̚ 1
ก๊ก	k o k̚ 3
ขนมปัง	kʰ a 1 . n o m 4 . p a ŋ
พิพิธภัณฑ์	pʰ i 3 . pʰ i t̚ 3 . tʰ a 3 . pʰ a n
ศรีสะเกษ	s iː 4 . s a 1 . k eː t̚ 1
มีท้อง	m iː . tʰ ɔː ŋ 3
ทอดพระเนตร	tʰ ɔː t̚ 2 . pʰ r a 3 . n eː t̚ 2
หมอก	m ɔː k̚ 1
มนตร์	m o n
วิสัญญี	w i 3 . s a n 4 . j iː
อสังหาริมทรัพย์	ʔ a 1 . s a ŋ 4 . h aː 4 . r i 3 . m a 3 . s a p̚ 3
ข้อสันนิษฐาน	kʰ ɔː 2 . s a n 4 . n i t̚ 3 . tʰ aː n 4
แผลฉกรรจ์	pʰ l ɛː 4 . t͡ɕʰ a 1 . k a n
ข่มขืนกระทำชำเรา	kʰ o m 1 . kʰ ɯː n 4 . k r a 1 . tʰ a m . t͡ɕʰ a m . r a w
ถนน	tʰ a 1 . n o n 4
เยี่ยม	j i a̯ m 2
จอร์แดน	t͡ɕ ɔː . d ɛː n
ฟ้อน	f ɔː n 3
สู่	s uː 1
อึด	ʔ ɯ t̚ 1
เด็กเสิร์ฟ	d e k̚ 1 . s ɤː f 1
หนี	n iː 4
รุ่ง	r u ŋ 2
โน้น	n oː n 3
ครัวซองต์	kʰ r u a̯ . s ɔ ŋ
เคลียร์	kʰ l i a̯
จมปลัก	t͡ɕ o m . p l a k̚ 1
กระดิ่ง	k r a 1 . d i ŋ 1
ไป่	p a j 1
นิทรา	n i t̚ 3 . tʰ r aː
หมาต๋า	m aː 4 . t aː 4
เส้นทาง	s e n 2 . tʰ aː ŋ
อาหารเช้า	ʔ aː . h aː n 4 . t͡ɕʰ aː w 3
วิญญูชน	w i n . j uː . t͡ɕʰ o n
ไท้	tʰ a j 3
แป	p ɛː
องค์	ʔ o ŋ
อุทยาน	ʔ u t̚ 1 . tʰ a 3 . j aː n
กีด	k iː t̚ 1
เทวี	tʰ eː . w iː
พรากผู้เยาว์	pʰ r aː k̚ 2 . pʰ uː 2 . j a w
กระถางต้นไม้	k r a 1 . tʰ aː ŋ 4 . t o n 2 . m aː j 3
กุ้งมังกร	k u ŋ 2 . m a ŋ . k ɔː n
เส้นแวง	s e n 2 . w ɛː ŋ
เสี่ยง	s i a̯ ŋ 1
อาสน	ʔ aː t̚ 1 . s a 1 . n a ʔ 3
แผ่น	pʰ ɛ n 1
กะละปังหา	k a 1 . l a 3 . p a ŋ . h aː 4
กงสุล	k o ŋ . s u n 4
ดึง	d ɯ ŋ
ตอด	t ɔː t̚ 1
ยี่ห้อ	j iː 2 . h ɔː 2
สินทรัพย์	s i n 4 . s a p̚ 3
เซเชลส์	s eː . t͡ɕʰ eː l
เชน	t͡ɕʰ eː n
ไฟ	f a j
กล	k o n
ดิกชันนารี	d i k̚ 1 . t͡ɕʰ a n . n aː . r iː 2
พนัญเชิง	pʰ a 3 . n a n . t͡ɕʰ ɤː ŋ
สูบ	s uː p̚ 1
เกี้ยมอี๋	k i a̯ m 2 . ʔ iː 4
เปราะ	p r ɔ ʔ 1
โคลน	kʰ l oː n
โข	kʰ oː 4
ทุพพลภาพ	tʰ u p̚ 3 . pʰ o n . l a 3 . pʰ aː p̚ 2
โรงแรม	r oː ŋ . r ɛː m
กล้องสองตา	k l ɔː ŋ 2 . s ɔː ŋ 4 . t aː
ออกดอก	ʔ ɔː k̚ 1 . d ɔː k̚ 1
เบญจศก	b e n . t͡ɕ a 1 . s o k̚ 1
ล้มเหลว	l o m 3 . l eː w 4
เบ็ด	b e t̚ 1
บ่วง	b u a̯ ŋ 1
เสมหะ	s eː m 4 . h a ʔ 1
ม้วน	m u a̯ n 3
ถุงยาง	tʰ u ŋ 4 . j aː ŋ
ถูก	tʰ uː k̚ 1
เปรี้ยว	p r i a̯ w 2
มาห์	m aː
โลดโผน	l oː t̚ 2 . pʰ oː n 4
พิชิต	pʰ i 3 . t͡ɕʰ i t̚ 3
การกระทำ	k aː n . k r a 1 . tʰ a m
น้ำเคย	n a m 3 . kʰ ɤː j
น้ำบาดาล	n aː m 3 . b aː . d aː n
สมอพิเภก	s a 1 . m ɔː 4 . pʰ i 3 . pʰ eː k̚ 2
ม่อน	m ɔ n 2
ราชสีห์	r aː t̚ 2 . t͡ɕʰ a 3 . s iː 4
การขโมย	k aː n . kʰ a 1 . m oː j
กระดานหก	k r a 1 . d aː n . h o k̚ 1
ไนท์คลับ	n a j 3 . kʰ l a p̚ 1
ทึบ	tʰ ɯ p̚ 3
ประชวร	p r a 1 . t͡ɕʰ u a̯ n
สามานยนาม	s aː 4 . m aː n . j a 3 . n aː m
นินทา	n i n . tʰ aː
กรุ่น	k r u n 1
เครื่องปั้นดินเผา	kʰ r ɯ a̯ ŋ 2 . p a n 2 . d i n . pʰ a w 4
เลี่ยม	l i a̯ m 2
คาร์บูเรเตอร์	kʰ aː . b uː . r eː . t ɤː 2
ยอดเขา	j ɔː t̚ 2 . kʰ a w 4
กล้องยาเส้น	k l ɔː ŋ 2 . j aː . s eː n 2
ข้อผูกมัด	kʰ ɔː 2 . pʰ uː k̚ 1 . m a t̚ 3
เขี้ยว	kʰ i a̯ w 2
คลาส	kʰ l aː s 2
ขี้ผึ้ง	kʰ iː 2 . pʰ ɯ ŋ 2
ใย	j a j
ผศ.	pʰ ɔː 4 . s ɔː 4
คนในอยากออก คนนอกอยากเข้า	kʰ o n . n a j . j aː k̚ 1 . ʔ ɔː k̚ 1 . kʰ o n . n ɔː k̚ 2 . j aː k̚ 1 . kʰ a w 2
เกือกม้า	k ɯ a̯ k̚ 1 . m aː 3
คติ	kʰ a 3 . t i ʔ 1
แคนซัส	kʰ ɛ n . s a s 3
ยาจก	j aː . t͡ɕ o k̚ 1
ปฏิ	p a 1 . t i ʔ 1
ทรัพยสิทธิ	s a p̚ 3 . pʰ a 3 . j a 3 . s i t̚ 1
ผณิ	pʰ a 1 . n i ʔ 3
กลาโหม	k a 1 . l aː . h oː m 4
เชยชม	t͡ɕʰ ɤː j . t͡ɕʰ o m
ฝึก	f ɯ k̚ 1
ศาลอุทธรณ์	s aː n 4 . ʔ u t̚ 1 . tʰ ɔː n
เมโทร	m eː . tʰ r oː
ปิ๊ง	p i ŋ 3
นั่งเล่น	n a ŋ 2 . l e n 2
หุ่นไล่กา	h u n 1 . l a j 2 . k aː
ความเป็นไปได้	kʰ w aː m . p e n . p a j . d a j 2
เงื้อมมือ	ŋ ɯ a̯ m 3 . m ɯː
กระเป๋าเดินทาง	k r a 1 . p a w 4 . d ɤː n . tʰ aː ŋ
เหย้า	j a w 2
สาม	s aː m 4
ถุย	tʰ u j 4
กรรไกร	k a n . k r a j
ชน	t͡ɕʰ o n
อุดมการณ์	ʔ u 1 . d o m . m a 3 . k aː n
หอน	h ɔː n 4
มันเสา	m a n . s a w 4
มะเร็ง	m a 3 . r e ŋ
เว็บแคม	w e p̚ 3 . kʰ ɛː m
ตัวเมีย	t u a̯ . m i a̯
สมองตาย	s a 1 . m ɔː ŋ 4 . t aː j
พวก	pʰ u a̯ k̚ 2
ไข่เจียว	kʰ a j 1 . t͡ɕ i a̯ w
เสนา	s eː 4 . n aː
เชิง	t͡ɕʰ ɤː ŋ
ผม	pʰ o m 4
หั่น	h a n 1
หล้า	l aː 2
รับใช้	r a p̚ 3 . t͡ɕʰ a j 3
ทุก	tʰ u k̚ 3
แตงกวา	t ɛː ŋ . k w aː
เซิร์ฟเวอร์	s ɤː p̚ 3 . w ɤː 2
ต้วมเตี้ยม	t u a̯ m 2 . t i a̯ m 2
ไข้หวัดใหญ่	kʰ a j 2 . w a t̚ 1 . j a j 1
อวสาน	ʔ a 1 . w a 3 . s aː n 4
ไอ	ʔ a j
จดหมาย	t͡ɕ o t̚ 1 . m aː j 4
คู่หมั้น	kʰ uː 2 . m a n 2
ถั่วเหลือง	tʰ u a̯ 1 . l ɯ a̯ ŋ 4
รัด	r a t̚ 3
แถลงการณ์	tʰ a 1 . l ɛː ŋ 4 . k aː n
กสิกร	k a 1 . s i 1 . k ɔː n
โม้	m oː 3
ความรัก	kʰ w aː m . r a k̚ 3
เคลื่อนที่	kʰ l ɯ a̯ n 2 . tʰ iː 2
ทดลอง	tʰ o t̚ 3 . l ɔː ŋ
พะแนง	pʰ a 3 . n ɛː ŋ
อ.	ʔ ɔː
เฝอ	f ɤː 4
ขี่ช้างจับตั๊กแตน	kʰ iː 1 . t͡ɕʰ aː ŋ 3 . t͡ɕ a p̚ 1 . t a k̚ 3 . k a 1 . t ɛː n
ผู้แต่ง	pʰ uː 2 . t ɛː ŋ 1
กระทัดรัด	k r a 1 . tʰ a t̚ 3 . r a t̚ 3
อาทิ	ʔ aː . tʰ i ʔ 3
แพร่พันธุ์	pʰ r ɛː 2 . pʰ a n
กระทง	k r a 1 . tʰ o ŋ
กลองยาว	k l ɔː ŋ . j aː w
โฉนด	t͡ɕʰ a 1 . n oː t̚ 1
เก้ง	k e ŋ 2
ฟลอริดา	f l ɔː . r i 3 . d aː 2
ยุ่น	j u n 2
ประโคม	p r a 1 . kʰ oː m
ซิ่น	s i n 2
มนุษยวิทยา	m a 3 . n u t̚ 3 . s a 1 . j a 3 . w i t̚ 3 . tʰ a 3 . j aː
กลวง	k l u a̯ ŋ
ลิขิต	l i 3 . kʰ i t̚ 1
ปุ๋ย	p u j 4
คีร์กีซสถาน	kʰ iː . k iː t̚ 3 . s a 1 . tʰ aː n 4
บริหาร	b ɔː . r i 3 . h aː n 4
เหลือง	l ɯ a̯ ŋ 4
บอตสวานา	b ɔː t̚ 3 . s a 1 . w aː . n aː 2
ความเห็น	kʰ w aː m . h e n 4
เครื่องพิมพ์	kʰ r ɯ a̯ ŋ 2 . pʰ i m
รองเท้าแตะ	r ɔː ŋ . tʰ aː w 3 . t ɛ ʔ 1
ภุชงค์	pʰ u 3 . t͡ɕʰ o ŋ
อู้	ʔ uː 2
อเวจี	ʔ a 1 . w eː . t͡ɕ iː
ปิศาจ	p i 1 . s aː t̚ 1
แนะ	n ɛ ʔ 3
สอบถาม	s ɔː p̚ 1 . tʰ aː m 4
ใบสอ	b a j . s ɔː 4
ครีมกันแดด	kʰ r iː m . k a n . d ɛː t̚ 1
เครื่องฉาย	kʰ r ɯ a̯ ŋ 2 . t͡ɕʰ aː j 4
สปริง	s a 1 . p r i ŋ
สุกร	s u 1 . k ɔː n
คีต	kʰ iː t̚ 2
ขีด	kʰ iː t̚ 1
อลวน	ʔ o n . l a 3 . w o n
หงส์	h o ŋ 4
เกาะชายกระโปรง	k ɔ ʔ 1 . t͡ɕʰ aː j . k r a 1 . p r oː ŋ
ยิหวา	j i 3 . w aː 4
วงแหวน	w o ŋ . w ɛː n 4
อาลักษณ์	ʔ aː . l a k̚ 3
แทรกเตอร์	tʰ r ɛ k̚ 3 . t ɤː 2
เย้ายวน	j a w 3 . j u a̯ n
อัตโนมัติ	ʔ a t̚ 1 . t a 1 . n oː . m a t̚ 3
ฆรณี	kʰ ɔː . r a 3 . n iː
แจ้งความ	t͡ɕ ɛː ŋ 2 . kʰ w aː m
กัลยาณี	k a n . l a 3 . j aː . n iː
ยอม	j ɔː m
สงบ	s a 1 . ŋ o p̚ 1
เสียเปรียบ	s i a̯ 4 . p r i a̯ p̚ 1
พลี	pʰ a 3 . l iː
รุด	r u t̚ 3
จิต	t͡ɕ i t̚ 1
ไจ	t͡ɕ a j
เปลือกตา	p l ɯ a̯ k̚ 1 . t aː
แน่ชัด	n ɛː 2 . t͡ɕʰ a t̚ 3
เยื่อตา	j ɯ a̯ 2 . t aː
เฟอร์นิเจอร์	f ɤː . n i 3 . t͡ɕ ɤː 2
อะแลสกา	ʔ a 1 . l ɛː s 3 . k aː 2
กำปั่น	k a m . p a n 1
รูปตัด	r uː p̚ 2 . t a t̚ 1
สถล	s a 1 . tʰ o n 4
หลีกเลี่ยง	l iː k̚ 1 . l i a̯ ŋ 2
ที่มา	tʰ iː 2 . m aː
ภาษาถิ่น	pʰ aː . s aː 4 . tʰ i n 1
ดอกทอง	d ɔː k̚ 1 . tʰ ɔː ŋ
งานแต่งงาน	ŋ aː n . t ɛː ŋ 1 . ŋ aː n
กอ	k ɔː
หงสาวดี	h o ŋ 4 . s aː 4 . w a 3 . d iː
เป็นกันเอง	p e n . k a n . ʔ eː ŋ
แกรไฟต์	k r ɛː . f a j 3
กราด	k r aː t̚ 1
หยวน	j u a̯ n 4
มีดโกน	m iː t̚ 2 . k oː n
ฟยอร์ด	f a 3 . j ɔː t̚ 3
มรณบัตร	m ɔː . r a 3 . n a 3 . b a t̚ 1
มือถือ	m ɯː . tʰ ɯː 4
ลวงโลก	l u a̯ ŋ . l oː k̚ 2
ทึ่ง	tʰ ɯ ŋ 2
อักษรศาสตร์	ʔ a k̚ 1 . s ɔː 4 . r a 3 . s aː t̚ 1
ถวาย	tʰ a 1 . w aː j 4
ดักฟัง	d a k̚ 1 . f a ŋ
เลื่อม	l ɯ a̯ m 2
แพทย์	pʰ ɛː t̚ 2
คาวบอย	kʰ aː w . b ɔː j
เรียนรู้	r i a̯ n . r uː 3
ลูกเลี้ยง	l uː k̚ 2 . l i a̯ ŋ 3
โสด	s oː t̚ 1
อัญมณี	ʔ a n . j a 3 . m a 3 . n iː
ผ่อง	pʰ ɔ ŋ 1
หลัก	l a k̚ 1
ล้า	l aː 3
เล่นแร่แปรธาตุ	l e n 2 . r ɛː 2 . p r ɛː . tʰ aː t̚ 2
ฉะเชิงเทรา	t͡ɕʰ a 1 . t͡ɕʰ ɤː ŋ . s a w
เชิญ	t͡ɕʰ ɤː n
ผนัง	pʰ a 1 . n a ŋ 4
แคว	kʰ w ɛː
จอตา	t͡ɕ ɔː . t aː
ลอยตัว	l ɔː j . t u a̯
เติร์กเมนิสถาน	t ɤː k̚ 3 . m eː . n i s 3 . tʰ aː n 4
สรรเสริญ	s a n 4 . s ɤː n 4
ขนมหวาน	kʰ a 1 . n o m 4 . w aː n 4
ตลอด	t a 1 . l ɔː t̚ 1
อนุทิน	ʔ a 1 . n u 3 . tʰ i n
พลขับ	pʰ o n . l a 3 . kʰ a p̚ 1
ไซ	s a j
เพลงสวด	pʰ l eː ŋ . s u a̯ t̚ 1
ออกซิเจน	ʔ ɔ k̚ 3 . s i 3 . t͡ɕ eː n
คูเวต	kʰ uː . w eː t̚ 1
ทรมาน	tʰ ɔː . r a 3 . m aː n
เอางาน	ʔ a w . ŋ aː n
ครบ	kʰ r o p̚ 3
อภิสิทธิ์	ʔ a 1 . pʰ i 3 . s i t̚ 1
ก้าวหน้า	k aː w 2 . n aː 2
ผู้	pʰ uː 2
อัมมาน	ʔ a m . m aː n
ฟิจิ	f i 3 . t͡ɕ i ʔ 1
ประพฤติ	p r a 1 . pʰ r ɯ t̚ 3
เอกสาร	ʔ eː k̚ 1 . k a 1 . s aː n 4
ตู้ปลา	t uː 2 . p l aː
ทอ	tʰ ɔː
ชานเมือง	t͡ɕʰ aː n . m ɯ a̯ ŋ
เวอร์จิเนีย	w ɤː . t͡ɕ i 1 . n i a̯
กำปั้น	k a m . p a n 2
สก็อต	s a 1 . k ɔ t̚ 1
เข็มนาฬิกา	kʰ e m 4 . n aː . l i 3 . k aː
เหยาะ	j ɔ ʔ 1
การประชุม	k aː n . p r a 1 . t͡ɕʰ u m
ละหมาด	l a 3 . m aː t̚ 1
ฤชา	r ɯ 3 . t͡ɕʰ aː
งอม	ŋ ɔ m
เส้น	s e n 2
ผู้นำ	pʰ uː 2 . n a m
มนุษยศาสตร์	m a 3 . n u t̚ 3 . s a 1 . j a 3 . s aː t̚ 1
วิจารณ์	w i 3 . t͡ɕ aː n
เตร่	t r e ʔ 1
บอมบ์	b ɔ m
ไอซียู	ʔ a j . s iː . j uː
แกลบ	k l ɛː p̚ 1
ทำงาน	tʰ a m . ŋ aː n
ย้อน	j ɔː n 3
ดิ่ง	d i ŋ 1
อุปโภค	ʔ u 1 . p a 1 . pʰ oː k̚ 2
ก.พ.	k ɔː . pʰ ɔː
อุตสาหกรรม	ʔ u t̚ 1 . s aː 4 . h a 1 . k a m
กระเบื้อง	k r a 1 . b ɯ a̯ ŋ 2
ระทึก	r a 3 . tʰ ɯ k̚ 3
ระแหง	r a 3 . h ɛː ŋ 4
เคว้ง	kʰ w eː ŋ 3
โพแดง	pʰ oː . d ɛː ŋ
ศิลป์	s i n 4
พรรคการเมือง	pʰ a k̚ 3 . k aː n . m ɯ a̯ ŋ
ตาน้ำ	t aː . n aː m 3
ประสาน	p r a 1 . s aː n 4
เซ	s eː
ความมั่นคง	kʰ w aː m . m a n 2 . kʰ o ŋ
ทุเรียน	tʰ u 3 . r i a̯ n
สิ้น	s i n 2
ตอแหล	t ɔː . l ɛː 4
เท้าแขน	tʰ aː w 3 . kʰ ɛː n 4
ภักดี	pʰ a k̚ 3 . d iː
หริภุญชัย	h a 1 . r i 3 . pʰ u n . t͡ɕʰ a j
เฟ้อ	f ɤː 3
เปล	p l eː
ศักย	s a k̚ 1 . k a 1 . j a ʔ 3
ดอกเตอร์	d ɔ k̚ 3 . t ɤː 2
ชะมัด	t͡ɕʰ a 3 . m a t̚ 3
พายัพ	pʰ aː . j a p̚ 3
บิชอป	b i 1 . t͡ɕʰ ɔ p̚ 3
ลิ้นทะเล	l i n 3 . tʰ a 3 . l eː
ฤาษี	r ɯː . s iː 4
โลหะเจือ	l oː . h a 1 . t͡ɕ ɯ a̯
บ่อน	b ɔ n 1
พุ่ง	pʰ u ŋ 2
เก่าแก่	k a w 1 . k ɛː 1
สร้อยข้อมือ	s ɔ j 2 . kʰ ɔː 2 . m ɯː
คร่ำครึ	kʰ r a m 2 . kʰ r ɯ ʔ 3
วิกฤต	w i 3 . k r i t̚ 1
ทูเลียม	tʰ uː . l i a̯ m 2
ศร	s ɔː n 4
นำ	n a m
