1_100_104_1	โครงสร้าง จุล ภาพ พื้นผิว   ผิว ชุบ เคลือบ ทองแดง แบบ ไม่ ใช้ ไฟฟ้า   เมื่อ เติม ไพรี ดีน   แสดง ดัง ไมโคร กราฟ รูป ที่   สิบ
1_102_49_1	เพียงแต่ว่า   ไม่ สามารถ ชี้ชัด ได้ ว่า คำ ที่ ผิด เริ่ม จาก ไหน   สิ้นสุด ที่ จุด ไหน   คือ สอง จุด สอง จุด หนึ่ง   คำ ที่ ถู กลด รูปสระ   เช่น   มาก ดวง
1_102_53_1	สอง จุด สอง จุด สอง   คำ ที่ มี ตัว ควบกล้ำ   เช่น   มากกว่า   วิธี ของ ผู้วิจัย บอก ได้ ว่า ไม่ใช่ คำ ผิด
1_102_53_2	แต่ ไม่ สามารถ บอก ได้ ว่า ใน ประโยค ต้องการ   มา กว่า   หรือ   มา กว่า
1_102_57_1	สอง จุด สาม   คำสมาส   และ คำ สนธิ   คำ ที่ เอา มา รวมกัน แล้ว ต้อง เปลี่ยนรูป ไป   ผู้วิจัย แก้ปัญหา
1_102_62_1	เนื่องจาก การ ใช้ ไมโครคอมพิวเตอร์   เรา ต้องการ ให้ โปรแกรม ตัวเล็ก เล็ก   และ ทำงาน เร็ว
1_102_68_2	เพราะ บังเอิญ นับ อักษร ที่ ใช้ กัน อยู่ เป็นประจำ ได้   หกสิบ สี่   ตัว พอดี   ดัง ตาราง
1_102_70_1	สอง   ตัด วงเล็บ เปิด ทิ้ง ไป
1_102_75_1	สอง จุด ห้า   มี วงเล็บ เปิด   หลาย แบบ   ดู คำอธิบาย ข้างล่าง
1_102_8_2	ใน การ เตรียม พิมพ์ เอกสาร   คำ ที่ สะกด ใน ประโยค จะ ถูก นำมา เปรียบเทียบ กับ คำ ที่ ถูกต้อง   ซึ่ง ทุก ชาติ ทุก ภาษา ก็ มี ของ ตัวเอง ใน รูป ของ พจนานุกรม
1_102_9_1	ปัญหา นี้ ก็ มิใช่ จะ แก้ ไม่ ได้เสีย เลย ทีเดียว
1_103_12_1	ข้อมูล ภาพถ่าย ดาวเทียม เริ่ม เข้ามา มีความสำคัญ ต่อ การพัฒนา ประเทศชาติ   โดยเฉพาะ ยิ่ง ใน การ ใช้ ข้อมูล ภาพ   เพื่อ การสำรวจ ทรัพยากรธรรมชาติ
1_103_12_11	โดย ได้ ทำการ ออกแบบ โปรแกรม ซอฟต์แวร์ ส่วนหนึ่ง   ซึ่ง เป็น โปรแกรม พื้นฐาน เบื้องต้น ที่ ใช้ ใน การประมวลผลข้อมูล ภาพถ่าย ดาวเทียม
1_103_12_2	แต่ ปัญหา ที่เกิด ขึ้นกับ ผู้ใช้ ข้อมูล ภาพถ่าย ดาวเทียม คือ   ซอฟต์แวร์ ที่ ใช้ ใน การประมวลผลข้อมูล ภาพ มัก มี ราคาแพง   และ ต้อง ใช้กับ ระบบ ฮาร์ดแวร์ ราคาแพง
1_103_12_5	ทั้งนี้เพราะ ชุด แสดง ภาพ ข้อมูล ดาวเทียม มีราคา สูง มาก   จน หน่วยงาน ต่าง ต่าง   ที่ ต้อง ใช้ ข้อมูล ภาพ ดาวเทียม ใน การ ช่วย วางแผน และ พัฒนา ประเทศชาติ   ไม่ สามารถ จัดสรร งบประมาณ มา ซื้อ ไว้ ใช้ เอง ได้
1_103_21_2	กล่าวคือ   ภาพ มีระดับ สีเทา ของ จุด ภาพ ใกล้เคียง กัน ตลอดทั้ง ภาพ
1_103_28_3	สมมติฐาน ใน การ กำจัด สัญญาณรบกวน ของ โปรแกรม หัวข้อ นี้ คือ   จุด ที่ เป็น สัญญาณรบกวน จะ มีค่า แตกต่าง ไป จาก กลุ่ม จุด ภาพ ที่อยู่ ใกล้เคียง จุด นั้น
1_103_32_6	ถ้า เมื่อ นำ ภาพ เบลอ ไป ลบ ออกจาก ภาพ เดิม
1_103_37_3	วิธีการ นี้ เป็น การจำแนก ข้อมูล   โดย ใช้ ความเหมือน ของ ระดับ สีเทา เป็น เงื่อนไข
1_103_41_4	ทั้งนี้เพราะ ทั้ง   สอง   หัวข้อ   จะ เป็น การนำ เอา ค่าเฉลี่ย ของ จุด ที่ สนใจ และ กลุ่ม จุด ข้างเคียง มา แทน ลง ใน จุด ที่ สนใจ
1_103_8_1	ใน ปัจจุบัน ข้อมูล ภาพ จาก ดาวเทียม ดวง ใหม่ ใหม่   ได้รับ การพัฒนา ให้ มี รายละเอียด สูง ขึ้น
1_104_4_5	ไม่ว่า จะ เป็นการ เผยแพร่ เทคโนโลยี ใน รูป ของ การ ฝึกอบรม   การสัมมนา   การประชุม วิชาการ   การ จัดพิมพ์ เอกสาร และ ตำรา   การ ให้การ บริการ ทาง ด้าน เทคนิค แก่ ภาครัฐบาล และ เอกชน
1_104_5_1	ความสำเร็จ ของ ศูนย์ เทคโนโลยี อี เล็ก ทรอ นิ กส์ และ คอมพิวเตอร์ แห่งชาติ นั้น   อาจจะ กล่าว ได้ ว่า เกิด จาก ความร่วมมือ ใน ลักษณะ ของ เครือข่าย ระหว่าง ศูนย์   มหาวิทยาลัย   และ ภาค ธุรกิจเอกชน
1_104_6_4	ผม ขอแสดงความยินดี ใน ความสำเร็จ อัน น่าภาคภูมิใจ และ ขอ ขอบคุณ นักวิจัย ไทย   ภาคเอกชน   และ ผู้ ที่ เกี่ยวข้อง ทุกท่าน ที่ ได้ ร่วมมือ กัน ประสาน ประโยชน์
1_104_6_6	สำนักงาน   พร้อม ที่จะ สนับสนุน การ ดำเนินงาน ของ ศูนย์   ให้ มี ทิศทาง ที่ มุ่ง สู่ เป้าหมาย ของ การนำ เอา วิทยาศาสตร์ และ เทคโนโลยี มา พัฒนา ประเทศ อย่างแท้จริง
1_105_10_1	การประชุม วิชาการ ประจำปี นี้   คณะทำงาน ได้ จัด ให้ มี การ อภิปราย พิเศษ ภายใต้ หัวข้อ   เครือข่าย เพื่อ การพัฒนา   ขึ้น มา
1_105_10_2	โดย มี วัตถุประสงค์ เพื่อ ชี้ให้เห็น ถึง การ ที่จะ พัฒนา เทคโนโลยี ด้าน อิเล็กทรอนิกส์ และ คอมพิวเตอร์ นั้น
1_105_10_3	จะ ต้อง อาศัย ความร่วมมือ ใน รูปแบบ เครือข่าย ของ การพัฒนา
1_105_10_5	นอกจากนี้   ศูนย์   ยัง ได้รับ เกียรติ จาก ผู้ทรงคุณวุฒิ อีก หลาย ท่าน   ที่มา ร่วม บรรยาย พิเศษ ใน หัวข้อ ต่าง ต่าง   ที่ สอดคล้องกัน กับ ทิศ ทางการ ดำเนินงาน ของ ศูนย์   ที่ กำลัง ดำเนินการ อยู่
1_105_11_1	ใน โอกาส นี้   ผม ใคร่ ขอ แสดง ความ ขอบคุณ ต่อ นักวิจัย   ภาคเอกชน   ตลอดจน ผู้ ที่ เกี่ยวข้อง ทุกฝ่าย ที่ ได้ ให้ความร่วมมือ กับ ศูนย์   ด้วยดี ตลอดมา
1_105_2_1	ผู้อำนวยการ ศูนย์ เทคโนโลยี อิเล็กทรอนิกส์ และ คอมพิวเตอร์ แห่งชาติ
1_105_3_4	ก็ คือ การ เผยแพร่ ผลการดำเนินงาน ของ ศูนย์   การ เสนอ ผลงานวิจัย   พัฒนา และ วิศวกรรม ของ นักวิจัย จาก หน่วยงาน ต่าง ต่าง   ที่ ได้ รับทุน อุดหนุน การวิจัย ใน ปี ที่ผ่านมา ของ ศูนย์
1_105_3_5	ตลอดจน การ เปิดโอกาส ให้ บรรดา นักวิจัย ทั้ง ใน ภาครัฐบาล และ เอกชน ได้ มีโอกาส มา พบปะ แลกเปลี่ยน ความรู้ และ ประสบการณ์ เกี่ยวกับ การวิจัย ทาง ด้าน เทคโนโลยี อี เล็ก ทรอ นิ กส์ และ คอมพิวเตอร์
1_105_4_2	และ เป็น เครื่องมือ ที่ สำคัญ ของ การ ดำเนิน การตาม นโยบาย ส่งเสริม การพัฒนา เทคโนโลยี ด้าน อิเล็กทรอนิกส์ และ คอมพิวเตอร์
1_105_4_5	รวม เป็น เงิน งบประมาณ ที่ ให้การ สนับสนุน มากกว่า   ยี่สิบ   ล้าน บาท
1_105_5_3	ก็ได้ เริ่ม มองเห็น ผลงาน ที่ ชัดเจน มากยิ่งขึ้น   เช่น   ห้องปฏิบัติการวิจัย ภาษา และ วิทยาการ ความรู้   ห้องปฏิบัติการวิจัย เทคโนโลยี โทรคมนาคม   ห้องปฏิบัติการวิจัย เทคโนโลยี เลเซอร์   เป็นต้น
1_105_5_4	ห้องปฏิบัติการวิจัย เหล่านี้   ก็ได้ ดำเนินงาน ที่ ไป สู่ การ วิจัยและพัฒนา ผลิตภัณฑ์ ให้ ออก ไป สู่ เชิงพาณิชย์
1_105_7_1	นอกจากนี้ แล้ว   ผลงาน ของ ศูนย์   ก็ ยังมี ใน ส่วน ของ การพัฒนา กำลังคน และ บริการ ทางเทคนิค   ที่ ได้ ดำเนิน กิจกรรม ด้าน การ ฝึกอบรม   การสัมมนา และ การประชุม ทางวิชาการ มา อย่างต่อเนื่อง
1_105_8_5	ใน เชิง ของ คุณภาพ นั้น   สิ่ง ที่ น่าจะ เป็นตัว ชี้ วัด ได้ เป็น อย่างดี   คือ การ ยอมรับ จาก สาธารณชน ทั่วไป ใน กิจกรรม ที่ ศูนย์   หรือ ที่ รู้จัก กัน ในนามของ   เนคเทค   กำลัง ดำเนินการ อยู่
1_106_13_1	สิบสอง   นาย แจ็ค มิ น ชุน ฮู   เป็น   กรรมการ
1_106_8_1	เจ็ด   นาย สม ชัย   ฤชุ พันธุ์   เป็น   กรรมการ
1_107_31_1	การพัฒนา พี โซ อิเลค ตริ กค ริ สตัล ไบโอ เซนเซอร์ เพื่อ วิเคราะห์   หนึ่งร้อย สี่ สิบ สาม
1_107_36_1	การพัฒนา หัว วัด น้ำตาล กู ล โค ส และ การ ประยุกต์ ใช้งาน หนึ่งร้อย หกสิบ สาม
1_107_48_1	ระ วี วรรณ   เอื้อ พันธ์ วิริยะ กุล
1_107_9_1	ระบบผู้เชี่ยวชาญ สำหรับ วิศวกรรม พลาสติก
1_108_11_2	จุดมุ่งหมาย ของ การ วิจัยและพัฒนา ใน โปรแกรม นี้ คือ เพื่อ ให้ได้ ผลิตภัณฑ์ ป้อน ตลาด ปัจจุบัน   หรือ ตลาด ในอนาคต อัน ใกล้
1_108_11_4	โดย จะ เน้น ใน ด้าน ต่าง ต่าง   ดังนี้    คอมพิวเตอร์ ซอฟต์แวร์   อุปกรณ์โทรคมนาคม   ระบบ คอมพิวเตอร์   ฮาร์ดแวร์   อิเล็กทรอนิกส์ ทางการแพทย์   และ อุปกรณ์ สำนักงาน และ เครื่องใช้ไฟฟ้า ภายในบ้าน
1_108_14_2	โดย มี วัตถุประสงค์ เพื่อให้ อาจารย์ มหาวิทยาลัย ได้ พัฒนา ความ รู้เชิง วิชาการ   และ พัฒนา เทคโนโลยี ใหม่ ใหม่
1_108_15_1	เป้าหมาย ของ โปรแกรม นี้ คือ ได้ รายงาน ซึ่ง สามารถ ตีพิมพ์ ใน วารสาร ทางวิชาการ   จำนวน   ยี่สิบ ถึง ยี่ สิบห้า   เรื่อง ต่อ ปี
1_108_17_3	เพื่อให้ เกิด การ แลกเปลี่ยน ข่าวสาร ข้อมูล ใน ลักษณะ ของ ไปรษณีย์ อิเล็กทรอนิกส์   การ แลกเปลี่ยน ข้อมูล   การ สืบค้น ข้อมูล จาก ฐานข้อมูล ของ หน่วยงาน ใน เครือข่าย การ ใช้ คอมพิวเตอร์ ร่วม
1_108_18_1	เป้าหมาย ของ โปรแกรม คือ การ ให้บริการ ประมาณ   ยี่สิบ   หน่วยงาน ระดับ มหาวิทยาลัย และ หน่วย วิจัยและพัฒนา
1_108_20_4	นอกจากนี้ จะ ขยาย ขอบเขต ของ การ ฝึกอบรม ให้ รวมไปถึง การศึกษา และ ฝึกอบรม อาจารย์ผู้สอน คอมพิวเตอร์   การอบรม ทาง ด้านการบริหาร การผลิต   เช่น   การวางแผน   ทรัพยากร   การผลิต   การ ควบคุม สินค้า คงเหลือ   เป็นต้น
1_108_26_1	กิจกรรม คือ การผลิต หนังสือ ตำรา   รายงาน สถานภาพ ทางเศรษฐกิจ เทคโนโลยี   การศึกษา เชิง นโยบาย   การผลิต สื่อ ความรู้ เพื่อ สาธารณะ   และ การ จัด สัมมนา และ ฝึกอบรม เฉพาะทาง
1_108_51_6	จำนวน นักวิจัย ที่ ได้รับ การ สนับสนุน ทุน เพื่อ การ ทำ การวิจัย   พัฒนา และ วิศวกรรม   จาก ศูนย์   ใน ระหว่าง ปี   สอง พัน ห้า ร้อย สาม สิบเอ็ด ถึง สอง พัน ห้า ร้อย สามสิบ สี่   มี ดังนี้   คือ
1_108_57_1	เนื่องจาก การ สนับสนุน การวิจัย เพื่อ พัฒนา เทคโนโลยี ของ ศูนย์   ไม่ได้ เน้น เฉพาะ การพัฒนา ออก ไป สู่ ผลิตภัณฑ์ เพียง ด้าน เดียว
1_108_64_1	ใน ระหว่าง ช่วง ปี   สอง พัน ห้า ร้อย สาม สิบเอ็ด ถึง สอง พัน ห้า ร้อย สามสิบ สี่   ศูนย์ ได้ สนับสนุน โครงการ ไตรภาคี จำแนก ตาม ระดับ ของ การพัฒนา เทคโนโลยี   ได้ ดังนี้
1_108_68_1	ปัจจุบัน   ถึง มิถุนายน   สอง พัน ห้า ร้อย สามสิบ หก   เครือข่าย คอมพิวเตอร์ ของ ศูนย์   ได้ ให้บริการ แก่ หน่วยงาน ต่าง ต่าง   รวม ทั้งสิ้น   หนึ่ง   หน่วยงาน
1_108_71_1	ใน ช่วง ระหว่าง ปี   พุทธศักราช สอง พัน ห้า ร้อย สามสิบ สาม ถึง สอง พัน ห้า ร้อย สามสิบ หก   ศูนย์ ฝึกอบรม คอมพิวเตอร์ เพื่อ อุตสาหกรรม ได้ ให้บริการ ฝึกอบรม ดังนี้   คือ
1_108_75_2	สามารถ จะ แยก เป็น ผู้ ที่ทำงาน ใน ส่วนราชการ   หกร้อย เจ็ดสิบ แปด   คน   สามสิบ แปด เปอร์เซ็นต์   ภาคเอกชน   ห้า ร้อย แปดสิบ สี่   คน   สามสิบ สาม เปอร์เซ็นต์   รัฐวิสาหกิจ   สอง ร้อย แปดสิบ หก   คน   สิบ หก เปอร์เซ็นต์   และ สถาบันการศึกษา   สอง ร้อย สี่ สิบ สี่   คน   สิบ สาม เปอร์เซ็นต์
1_108_80_2	สาเหตุ ที่ ต้อง รอ เนื่องจาก จะ มี ผู้เชี่ยวชาญ พร้อม อุปกรณ์ จาก สิงคโปร์ เดินทาง มา สำรวจ
1_108_86_1	ตาราง ที่หก ถึง หนึ่ง   การ จัด ทำหนังสือ ตำรา
1_108_88_1	นอกจากนี้ แล้ว   ใน ระหว่าง ปี   สอง พัน ห้า ร้อย สาม สิบเอ็ด ถึง สอง พัน ห้า ร้อย สามสิบห้า   ทาง ศูนย์   ได้ จัดพิมพ์ เอกสารเผยแพร่ ใน เรื่อง ต่าง ต่าง   เป็น จำนวน   สิบเอ็ด   รายการ
1_108_90_2	เพื่อ เป็นการ ถ่ายทอด ความรู้   แลกเปลี่ยน ประสบการณ์ และ ความคิดเห็น ระหว่าง นักวิชาการ และ ผู้ประกอบการ อิเล็กทรอนิกส์ และ คอมพิวเตอร์   ได้ จัด การสัมมนา และ ฝึกอบรม   ดังนี้ คือ
1_109_12_1	สาม   เครื่องไมโครคอมพิวเตอร์ พร้อม เครื่องพิมพ์
1_109_26_1	หนึ่ง จุด ห้า   การ ย้อน หลัก เป็นแถว หรือ แถว เป็นหลัก
