กรกฎา	k a 1 . r a 3 . k a 1 . d aː
กรกฎาคม	k a 1 . r a 3 . k a 1 . d aː . kʰ o m
กรง	k r o ŋ
กรงขัง	k r o ŋ . kʰ a ŋ 4
กรงเล็บ	k r o ŋ . l e p̚ 3
กรณี	k a 1 . r a 3 . n iː
กรณีที่	k ɔː n . n iː . tʰ iː 2
กรณีพิเศษ	k ɔː n . n iː . pʰ i 3 . s eː t 1
กรด	k r o t̚ 1
กรน	k r o n
กรม	k r o m
กรมธรรม์	k r o m . m a 3 . tʰ a n
กรมบัญชีกลาง	k r o m . b a n . c iː . k l aː ŋ
กรมประมง	k r o m . p r a 1 . m o ŋ
กรมวิทยาศาสตร์บริการ	k r o m . w i t 3 . tʰ a 3 . j aː . s aː t 1 . b r i 1 . k aː n
กรมศิลปากร	k r o m . s i n 4 . l a 3 . p aː . k ɔː n
กรมอาชีวศึกษา	k r o m . ʔ aː . c iː . w a 3 . s ɯ k 1 . s aː 4
กรมโรงงานอุตสาหกรรม	k r o m . r oː ŋ . ŋ aː n . ʔ u t 1 . s aː 4 . h a 1 . k a m
กรมไปรษณีย์โทรเลข	k r o m . p r a j . s a 1 . n iː . tʰ oː . r a 3 . l eː k 2
กรรปุระ	k a n . p u 1 . r a ʔ 3
กรรม	k a m
กรรมกร	k a m . m a 3 . k ɔː n
กรรมการ	k a m . m a 3 . k aː n
กรรมการผู้จัดการ	k a m . m a 3 . k aː n . pʰ uː 2 . c a t 1 . k aː n
กรรมตามสนอง	k a m . t aː m . s a 1 . n ɔː ŋ 4
กรรมวาจก	k a m . m a 3 . w aː . t͡ɕ o k̚ 1
กรรมวิธี	k a m . m a 3 . w i 3 . tʰ iː
กรรมาชีพ	k a m . m aː . t͡ɕʰ iː p̚ 2
กรรเชียง	k a n . t͡ɕʰ i a̯ ŋ
กรรไกร	k a n . k r a j
กรวด	k r u a̯ t̚ 1
กรวย	k r u a̯ j
กรอ	k r ɔː
กรอก	k r ɔː k̚ 1
กรอง	k r ɔː ŋ
กรอบ	k r ɔː p̚ 1
กระ	k r a ʔ 1
กระจก	k r a 1 . t͡ɕ o k̚ 1
กระจกตา	k r a 1 . t͡ɕ o k̚ 1 . t aː
กระจกเงา	k r a 1 . t͡ɕ o k̚ 1 . ŋ a w
กระจง	k r a 1 . t͡ɕ o ŋ
กระจอก	k r a 1 . t͡ɕ ɔː k̚ 1
กระจอกเทศ	k r a 1 . t͡ɕ ɔː k̚ 1 . tʰ eː t̚ 2
กระจัดกระจาย	k r a 1 . c a t 1 . k r a 1 . c aː j
กระจับ	k r a 1 . t͡ɕ a p̚ 1
กระจับปี่	k r a 1 . t͡ɕ a p̚ 1 . p iː 1
กระจาด	k r a 1 . t͡ɕ aː t̚ 1
กระจาย	k r a 1 . t͡ɕ aː j
กระจุก	k r a 1 . t͡ɕ u k̚ 1
กระชอน	k r a 1 . t͡ɕʰ ɔː n
กระชาก	k r a 1 . t͡ɕʰ aː k̚ 2
กระชาย	k r a 1 . t͡ɕʰ aː j
กระซิบ	k r a 1 . s i p̚ 3
กระซู่	k r a 1 . s uː 2
กระดอ	k r a 1 . d ɔː
กระดอง	k r a 1 . d ɔː ŋ
กระดังงา	k r a 1 . d a ŋ . ŋ aː
กระดาน	k r a 1 . d aː n
กระดานชนวน	k r a 1 . d aː n . t͡ɕʰ a 3 . n u a̯ n
กระดานดำ	k r a 1 . d aː n . d a m
กระดานถีบ	k r a 1 . d aː n . tʰ iː p̚ 1
กระดานลื่น	k r a 1 . d aː n . l ɯː n 2
กระดานหก	k r a 1 . d aː n . h o k̚ 1
กระดานหมากรุก	k r a 1 . d aː n . m aː k̚ 1 . r u k̚ 3
กระดานโต้คลื่น	k r a 1 . d aː n . t oː 2 . kʰ l ɯː n 2
กระดานไฟ	k r a 1 . d aː n . f a j
กระดาษ	k r a 1 . d aː t̚ 1
กระดาษชำระ	k r a 1 . d aː t̚ 1 . t͡ɕʰ a m . r a ʔ 3
กระดาษทราย	k r a 1 . d aː t̚ 1 . s aː j
กระดาษเงินกระดาษทอง	k r a 1 . d aː t̚ 1 . ŋ ɤː n . k r a 1 . d aː t̚ 1 . tʰ ɔː ŋ
กระดาษเช็ดปาก	k r a 1 . d aː t̚ 1 . t͡ɕʰ e t̚ 3 . p aː k̚ 1
กระดาษแก้ว	k r a 1 . d aː t̚ 1 . k ɛː w 2
กระดาษแข็ง	k r a 1 . d aː t̚ 1 . kʰ ɛ ŋ 4
กระดิก	k r a 1 . d i k̚ 1
กระดิ่ง	k r a 1 . d i ŋ 1
กระดี่ได้น้ำ	k r a 1 . d iː 1 . d a j 2 . n aː m 3
กระดุม	k r a 1 . d u m
กระดูก	k r a 1 . d uː k̚ 1
กระดูกงู	k r a 1 . d uː k̚ 1 . ŋ uː
กระดูกซี่โครง	k r a 1 . d uː k̚ 1 . s iː 2 . kʰ r oː ŋ
กระดูกสันหลัง	k r a 1 . d uː k̚ 1 . s a n 4 . l a ŋ 4
กระดูกอ่อน	k r a 1 . d uː k̚ 1 . ʔ ɔː n 1
กระดูกเชิงกราน	k r a 1 . d uː k̚ 1 . t͡ɕʰ ɤː ŋ . k r aː n
กระดูกแข็ง	k r a 1 . d uː k 1 . kʰ ɛ ŋ 4
กระดูกโกลน	k r a 1 . d uː k̚ 1 . k l oː n
กระดูกโหนกแก้ม	k r a 1 . d uː k̚ 1 . n oː k̚ 1 . k ɛː m 2
กระด้ง	k r a 1 . d o ŋ 2
กระด้าง	k r a 1 . d aː ŋ 2
กระติก	k r a 1 . t i k̚ 1
กระตือรือร้น	k r a 1 . t ɯː . r ɯː . r o n 3
กระตุก	k r a 1 . t u k̚ 1
กระตุกหนวดเสือ	k r a 1 . t u k̚ 1 . n u a̯ t̚ 1 . s ɯ a̯ 4
กระตุ้น	k r a 1 . t u n 2
กระต่าย	k r a 1 . t aː j 1
กระต่ายป่า	k r a 1 . t aː j 1 . p aː 1
กระต่ายหมายจันทร์	k r a 1 . t aː j 1 . m aː j 4 . t͡ɕ a n
กระถาง	k r a 1 . tʰ aː ŋ 4
กระถางดอกไม้	k r a 1 . tʰ aː ŋ 4 . d ɔː k̚ 1 . m aː j 3
กระถางต้นไม้	k r a 1 . tʰ aː ŋ 4 . t o n 2 . m aː j 3
กระทง	k r a 1 . tʰ o ŋ
กระทบ	k r a 1 . tʰ o p̚ 3
กระทบกระเทือน	k r a 1 . tʰ o p 3 . k r a 1 . tʰ ɯː a n
กระทรวง	k r a 1 . s u a̯ ŋ
กระทรวงมหาดไทย	k r a 1 . s uː a ŋ . m a 3 . h aː t 1 . tʰ a j
กระทรวงศึกษาธิการ	k r a 1 . s u a̯ ŋ . s ɯ k̚ 1 . s aː 4 . tʰ i 3 . k aː n
กระทรวงสาธารณสุข	k r a 1 . s uː a ŋ . s aː 4 . tʰ aː . r o n . n a 3 . s u k 1
กระทรวงอุตสาหกรรม	k r a 1 . s uː a ŋ . ʔ u t 1 . s aː 4 . h a 1 . k a m
กระทรวงเกษตรและสหกรณ์	k r a 1 . s uː a ŋ . k a 1 . s eː t 1 . l ɛ 3 . s a 1 . h a 1 . k ɔː n
กระทะ	k r a 1 . tʰ a ʔ 3
กระทัดรัด	k r a 1 . tʰ a t̚ 3 . r a t̚ 3
กระทันหัน	k r a 1 . tʰ a n . h a n 4
กระทำ	k r a 1 . tʰ a m
กระทำการ	k r a 1 . tʰ a m . k aː n
กระทิง	k r a 1 . tʰ i ŋ
กระทุง	k r a 1 . tʰ u ŋ
กระทู้	k r a 1 . tʰ uː 3
กระท้อน	k r a 1 . tʰ ɔː n 3
กระนั้น	k r a 1 . n a n 3
กระบถ	k r a 1 . b o t̚ 1
กระบวน	k r a 1 . b u a̯ n
กระบวนการ	k r a 1 . b u a̯ n . k aː n
กระบวนการผลิต	k r a 1 . b uː a n . k aː n . pʰ a 1 . l i t 1
กระบอก	k r a 1 . b ɔː k̚ 1
กระบอกเสียง	k r a 1 . b ɔː k̚ 1 . s i a̯ ŋ 4
กระบอง	k r a 1 . b ɔː ŋ
กระบองเพชร	k r a 1 . b ɔː ŋ . pʰ e t̚ 3
กระบะ	k r a 1 . b a ʔ 1
กระบี่	k r a 1 . b iː 1
กระบี่กระบอง	k r a 1 . b iː 1 . k r a 1 . b ɔː ŋ
กระบือ	k r a 1 . b ɯː
กระบุง	k r a 1 . b u ŋ
กระปรี้กระเปร่า	k r a 1 . p r iː 2 . k r a 1 . p r a w 1
กระปุก	k r a 1 . p u k̚ 1
กระปุกออมสิน	k r a 1 . p u k̚ 1 . ʔ ɔː m . s i n 4
กระป๋อง	k r a 1 . p ɔ ŋ 4
กระผม	k r a 1 . pʰ o m 4
กระพริบ	k r a 1 . pʰ r i p 3
กระพัง	k r a 1 . pʰ a ŋ
กระพือปีก	k r a 1 . pʰ ɯː . p iː k 1
กระมัง	k r a 1 . m a ŋ
กระยาง	k r a 1 . j aː ŋ
กระยาหาร	k r a 1 . j aː . h aː n 4
กระรอก	k r a 1 . r ɔː k̚ 2
กระษัตริย์	k r a 1 . s a t̚ 1
กระษัตรี	k r a 1 . s a t̚ 1 . t r iː
กระสวน	k r a 1 . s u a̯ n 4
กระสวย	k r a 1 . s u a̯ j 4
กระสอบ	k r a 1 . s ɔː p̚ 1
กระสะ	k r a 1 . s a ʔ 1
กระสา	k r a 1 . s aː 4
กระสาบ	k r a 1 . s aː p̚ 1
กระสาย	k r a 1 . s aː j 4
กระสือ	k r a 1 . s ɯː 4
กระสุน	k r a 1 . s u n 4
กระหนก	k r a 1 . n o k̚ 1
กระหม่อม	k r a 1 . m ɔ m 1
กระหวัด	k r a 1 . w a t̚ 1
กระหาย	k r a 1 . h aː j 4
กระอัก	k r a 1 . ʔ a k̚ 1
กระเจี๊ยบ	k r a 1 . t͡ɕ i a̯ p̚ 3
กระเจี๊ยว	k r a 1 . t͡ɕ i a̯ w 3
กระเชา	k r a 1 . t͡ɕʰ a w
กระเซิง	k r a 1 . s ɤː ŋ
กระเซ็น	k r a 1 . s e n
กระเดือก	k r a 1 . d ɯ a̯ k̚ 1
กระเด็น	k r a 1 . d e n
กระเต็น	k r a 1 . t e n
กระเทียม	k r a 1 . tʰ i a̯ m
กระเบน	k r a 1 . b eː n
กระเบื้อง	k r a 1 . b ɯ a̯ ŋ 2
กระเป๋า	k r a 1 . p a w 4
กระเป๋าธนบัตร	k r a 1 . p a w 4 . tʰ a 3 . n a 3 . b a t̚ 1
กระเป๋าสตางค์	k r a 1 . p a w 4 . s a 1 . t aː ŋ
กระเป๋าเดินทาง	k r a 1 . p a w 4 . d ɤː n . tʰ aː ŋ
กระเพาะ	k r a 1 . pʰ ɔ ʔ 3
กระเพาะปัสสาวะ	k r a 1 . pʰ ɔ ʔ 3 . p a t̚ 1 . s aː 4 . w a ʔ 3
กระเพาะอาหาร	k r a 1 . pʰ ɔ ʔ 3 . ʔ aː . h aː n 4
กระเรียน	k r a 1 . r i a̯ n
กระเหรี่ยง	k r a 1 . r i a̯ ŋ 1
กระแต	k r a 1 . t ɛː
กระแทก	k r a 1 . tʰ ɛː k̚ 2
กระแส	k r a 1 . s ɛː 4
กระแสตรง	k r a 1 . s ɛː 4 . t r o ŋ
กระแสสลับ	k r a 1 . s ɛː 4 . s a 1 . l a p 1
กระแสไฟฟ้า	k r a 1 . s ɛː 4 . f a j . f aː 3
กระโจม	k r a 1 . t͡ɕ oː m
กระโจมไฟ	k r a 1 . t͡ɕ oː m . f a j
กระโชก	k r a 1 . t͡ɕʰ oː k̚ 2
กระโดด	k r a 1 . d oː t̚ 1
กระโดดร่ม	k r a 1 . d oː t̚ 1 . r o m 2
กระโถน	k r a 1 . tʰ oː n 4
กระโปรง	k r a 1 . p r oː ŋ
กระได	k r a 1 . d a j
กรับ	k ɔː . r a p 3
กรัม	k r a m
กราด	k r aː t̚ 1
กราบ	k r aː p 1
กราฟ	k r aː f 3
กราฟฟิก	k r aː p 3 . f i k 3
กราฟิก	k r aː . f i k 3
กราฟิค	k r aː . f i k 3
กราม	k r aː m
กราว	k r aː w
กริช	k r i t̚ 1
กริยา	k r i 1 . j aː
กริยานุเคราะห์	k r i 1 . j aː . n u 3 . kʰ r ɔ ʔ 3
กริยาวลี	k r i 1 . j aː w . l iː
กริยาวิเศษณานุประโยค	k r i 1 . j aː . w i 3 . s eː 4 . s a 1 . n aː . n u 3 . p r a 1 . j oː k̚ 1
กริยาวิเศษณ์	k r i 1 . j aː . w i 3 . s eː t̚ 1
กริยาอกรรม	k r i 1 . j aː . ʔ a 1 . k a m
กริ่ง	k r i ŋ 1
กริ่งเกรง	k r i ŋ 1 . k r eː ŋ
กริ้ว	k r i w 2
กรี	k a 1 . r iː
กรีก	k r iː k̚ 1
กรีซ	k r iː s 1
กรีด	k r iː t̚ 1
กรุง	k r u ŋ
กรุงเขมา	k r u ŋ . kʰ a 1 . m a w 4
กรุงเทพ	k r u ŋ . tʰ eː p̚ 2
กรุงเทพมหานคร	k r u ŋ . tʰ eː p̚ 2 . m a 3 . h aː 4 . n a 3 . kʰ ɔː n
กรุงเทพฯ	k r u ŋ . tʰ eː p̚ 2
กรุณา	k a 1 . r u 3 . n aː
กรุ่น	k r u n 1
กรุ๊ป	k a 1 . r u p 3
กรู	k r uː
กรูม	k r uː m
กร่อน	k r ɔ n 1
กร่อย	k r ɔ j 1
กร่าง	k r aː ŋ 1
กฤดีกา	k r i 1 . d iː . k aː
กฤตยฎีกา	k r i t̚ 1 . t a 1 . j a 3 . d iː . k aː
กฤษฎีกา	k r i t̚ 1 . s a 1 . d iː . k aː
กฤษณา	k r i t̚ 1 . s a 1 . n aː 4
กล	k o n
กลฉ้อฉล	k o n . t͡ɕʰ ɔː 2 . t͡ɕʰ o n 4
กลด	k l o t̚ 1
กลบ	k l o p̚ 1
กลบบัตรสุมเพลิง	k l o p̚ 1 . b a t̚ 1 . s u m 4 . pʰ l ɤː ŋ
กลม	k l o m
กลมกล่อม	k l o m . k l ɔ m 1
กลมเกลียว	k l o m . k l i a̯ w
กลยุทธ	k o n . l a 3 . j u t 3 . tʰ a 3
กลวง	k l u a̯ ŋ
กลวิธี	k o n . l a 3 . w i 3 . tʰ iː
กลศาสตร์	k o n . l a 3 . s aː t 1
กลอง	k l ɔː ŋ
กลองทัด	k l ɔː ŋ . tʰ a t̚ 3
กลองยาว	k l ɔː ŋ . j aː w
กลองสองหน้า	k l ɔː ŋ . s ɔː ŋ 4 . n aː 2
กลองแขก	k l ɔː ŋ . kʰ ɛː k̚ 1
กลอน	k l ɔː n
กลัด	k l a t̚ 1
กลับ	k l a p̚ 1
กลับกัน	k l a p 1 . k a n
กลับคืน	k l a p̚ 1 . kʰ ɯː n
กลับตัว	k l a p̚ 1 . t u a̯
กลับตาลปัตร	k l a p̚ 1 . t aː . l a 3 . p a t̚ 1
กลับมา	k l a p 1 . m aː
กลับลำ	k l a p̚ 1 . l a m
กลับหลังหัน	k l a p̚ 1 . l a ŋ 4 . h a n 4
กลับเนื้อกลับตัว	k l a p̚ 1 . n ɯ a̯ 3 . k l a p̚ 1 . t u a̯
กลัว	k l u a̯
กลัวดอกพิกุลจะร่วง	k l u a̯ . d ɔː k̚ 1 . pʰ i 3 . k u n . t͡ɕ a 1 . r u a̯ ŋ 2
กลั่น	k l a n 1
กลั่นกรอง	k l a n 1 . k r ɔː ŋ
กลั่นตัว	k l a n 1 . t uː a
กลั้น	k l a n 2
กลั้ว	k l u a̯ 2
กลา	k a 1 . l aː
กลาก	k l aː k̚ 1
กลาง	k l aː ŋ
กลางคืน	k l aː ŋ . kʰ ɯː n
กลางลำตัว	k l aː ŋ . l a m . t uː a
กลางวัน	k l aː ŋ . w a n
กลางแจ้ง	k l aː ŋ . t͡ɕ ɛː ŋ 2
กลางแดด	k l aː ŋ . d ɛː t 1
กลาบาต	k a 1 . l aː . b aː t̚ 1
กลาย	k l aː j
กลายพันธุ์	k l aː j . pʰ a n
กลายเป็น	k l aː j . p e n
กลาโหม	k a 1 . l aː . h oː m 4
กลิ่น	k l i n 1
กลิ่นตัว	k l i n 1 . t u a̯
กลิ่นหอม	k l i n 1 . h ɔː m 4
กลิ้ง	k l i ŋ 2
กลิ้งเกลือก	k l i ŋ 2 . k l ɯ a̯ k̚ 1
กลีบ	k l iː p̚ 1
กลีบดอก	k l iː p̚ 1 . d ɔː k̚ 1
กลีบดอกไม้	k l iː p̚ 1 . d ɔː k̚ 1 . m aː j 3
กลีบหิน	k l iː p̚ 1 . h i n 4
กลึง	k l ɯ ŋ
กลืน	k l ɯː n
กลืนไม่เข้าคายไม่ออก	k l ɯː n . m a j 2 . kʰ a w 2 . kʰ aː j . m a j 2 . ʔ ɔː k̚ 1
กลุ่ม	k l u m 1
กลุ่มเป้าหมาย	k l u m 1 . p a w 2 . m aː j 4
กลุ้ม	k l u m 2
กลูโคส	k l uː . kʰ oː t̚ 3
กลเม็ด	k o n . l a 3 . m e t̚ 3
กลไก	k o n . k a j
กล่อง	k l ɔ ŋ 1
กล่องดนตรี	k l ɔ ŋ 1 . d o n . t r iː
กล่องดินสอ	k l ɔː ŋ 1 . d i n . s ɔː 4
กล่องเสียง	k l ɔ ŋ 1 . s i a̯ ŋ 4
กล่อม	k l ɔ m 1
กล่าว	k l aː w 1
กล่าวคือ	k l aː w 1 . kʰ ɯː
กล่าวถึง	k l aː w 1 . tʰ ɯ ŋ 4
กล่าวว่า	k l aː w 1 . w aː 2
กล่าวหา	k l aː w 1 . h aː 4
กล้วย	k l u a̯ j 2
กล้วยไม้	k l u a̯ j 2 . m aː j 3
กล้อง	k l ɔ ŋ 2
กล้องจุลทรรศน์	k l ɔ ŋ 2 . t͡ɕ u n . l a 3 . tʰ a t̚ 3
กล้องถ่ายภาพ	k l ɔ ŋ 2 . tʰ aː j 1 . pʰ aː p̚ 2
กล้องถ่ายรูป	k l ɔ ŋ 2 . tʰ aː j 1 . r uː p̚ 2
กล้องยาสูบ	k l ɔː ŋ 2 . j aː . s uː p̚ 1
กล้องยาเส้น	k l ɔː ŋ 2 . j aː . s eː n 2
กล้องสนาม	k l ɔː ŋ 2 . s a 1 . n aː m 4
กล้องสองตา	k l ɔː ŋ 2 . s ɔː ŋ 4 . t aː
กล้องโทรทรรศน์	k l ɔ ŋ 2 . tʰ oː . r a 3 . tʰ a t̚ 3
กล้องโทรทัศน์	k l ɔː ŋ 2 . tʰ oː . r a 3 . tʰ a t 3
กล้า	k l aː 2
กล้าม	k l aː m 2
กล้ามเนื้อ	k l aː m 2 . n ɯ a̯ 3
กล้ามเนื้อหัวใจ	k l aː m 2 . n ɯ a̯ 3 . h u a̯ 4 . t͡ɕ a j
กล้าย	k l aː j 2
กล้าหาญ	k l aː 2 . h aː n 4
กล้ำกลืน	k l a m 2 . k l ɯː n
กวด	k u a̯ t̚ 1
กวน	k u a̯ n
กวม	k u a̯ m
กวยจั๊บ	k u a̯ j . t͡ɕ a p̚ 3
กวัก	k w a k̚ 1
กวัด	k ɔː . w a t 3
กวาง	k w aː ŋ
กวางตุ้ง	k w aː ŋ . t u ŋ 2
กวาด	k w aː t̚ 1
กวาดต้อน	k w aː t̚ 1 . t ɔː n 2
กวาดล้าง	k w aː t̚ 1 . l aː ŋ 3
กวี	k a 1 . w iː
กวีนิพนธ์	k a 1 . w iː . n i 3 . pʰ o n
กว่า	k w aː 1
กว้าง	k w aː ŋ 2
กว้างขวาง	k w aː ŋ 2 . kʰ w aː ŋ 4
กว้างใหญ่	k w aː ŋ 2 . j a j 1
กว้าน	k w aː n 2
กษัตร	k a 1 . s a t̚ 1
กษัตรา	k r a 1 . s a t̚ 1 . t r aː
กษัตริย์	k a 1 . s a t̚ 1
กษัตรี	k a 1 . s a t̚ 1 . t r iː
กษัตรีย์	k a 1 . s a t̚ 1 . t r iː
กษาปณ์	k a 1 . s aː p̚ 1
กษีร	k a 1 . s iː 4 . r a ʔ 3
กษีระ	k a 1 . s iː 4 . r a ʔ 3
กสิ	k a 1 . s i ʔ 1
กสิกร	k a 1 . s i 1 . k ɔː n
กสิกรรม	k a 1 . s i 1 . k a m
กส์	k ɔː
กอ	k ɔː
กอก	k ɔː k̚ 1
กอง	k ɔː ŋ
กองกำลัง	k ɔː ŋ . k a m . l a ŋ
กองทัพ	k ɔː ŋ . tʰ a p̚ 3
กองทัพบก	k ɔː ŋ . tʰ a p̚ 3 . b o k̚ 1
กองทัพมด	k ɔː ŋ . tʰ a p̚ 3 . m o t̚ 3
กองทัพเรือ	k ɔː ŋ . tʰ a p̚ 3 . r ɯ a̯
กองทุน	k ɔː ŋ . tʰ u n
กองมรดก	k ɔː ŋ . m ɔː . r a 3 . d o k̚ 1
กองหนุน	k ɔː ŋ . n u n 4
กองเรือ	k ɔː ŋ . r ɯ a̯
กอด	k ɔː t̚ 1
กอดเก้าอี้	k ɔː t̚ 1 . k a w 2 . ʔ iː 2
กอบ	k ɔː p̚ 1
กอปร	k ɔː p̚ 1
กอริลลา	k ɔː . r i n . l aː 2
กอล์ฟ	k ɔː p̚ 3
กะ	k a ʔ 1
กะทะ	k a 1 . tʰ a ʔ 3
กะทัดรัด	k a 1 . tʰ a t̚ 3 . r a t̚ 3
กะทันหัน	k a 1 . tʰ a n . h a n 4
กะทิ	k a 1 . tʰ i ʔ 3
กะบัง	k a 1 . b a ŋ
กะบังลม	k a 1 . b a ŋ . l o m
กะปิ	k a 1 . p i ʔ 1
กะพริบ	k a 1 . pʰ r i p̚ 3
กะพรุน	k a 1 . pʰ r u n
กะรุน	k a 1 . r u n
กะละปังหา	k a 1 . l a 3 . p a ŋ . h aː 4
กะละแม	k a 1 . l a 3 . m ɛː
กะลา	k a 1 . l aː
กะลาสี	k a 1 . l aː . s iː 4
กะหรี่	k a 1 . r iː 1
กะหล่ำ	k a 1 . l a m 1
กะหล่ำปลี	k a 1 . l a m 1 . p l iː
กะเทย	k a 1 . tʰ ɤː j
กะเพรา	k a 1 . pʰ r a w
กะเหรี่ยง	k a 1 . r i a̯ ŋ 1
กะเอว	k a 1 . ʔ eː w
กะโหลก	k a 1 . l oː k̚ 1
กะได	k a 1 . d a j
กัก	k a k̚ 1
กักกัน	k a k̚ 1 . k a n
กักขฬะ	k a k̚ 1 . kʰ a 1 . l a ʔ 1
กักขัง	k a k̚ 1 . kʰ a ŋ 4
กัง	k a ŋ
กังฉิน	k a ŋ . t͡ɕʰ i n 4
กังฟู	k a ŋ . f uː
กังวล	k a ŋ . w o n
กัญชา	k a n . t͡ɕʰ aː
กัณฑ์	k a n
กัด	k a t̚ 1
กัดกร่อน	k a t 1 . k r ɔː n 1
กัทร	k a t 1 . tʰ a 3 . r ɔː
กัน	k a n
กันชน	k a n . t͡ɕʰ o n
กันดาร	k a n . d aː n
กันดาล	k a n . d aː n
กันที่	k a n . tʰ iː 2
กันยา	k a n . j aː
กันยายน	k a n . j aː . j o n
กันย์	k a n
กันสาด	k a n . s aː t̚ 1
กันและกัน	k a n . l ɛ ʔ 3 . k a n
กับ	k a p̚ 1
กับข้าว	k a p̚ 1 . kʰ aː w 2
กับดัก	k a p̚ 1 . d a k̚ 1
กับระเบิด	k a p̚ 1 . r a 3 . b ɤː t̚ 1
กับแกล้ม	k a p̚ 1 . k l ɛː m 2
กัมพูชา	k a m . pʰ uː . t͡ɕʰ aː
กัลณ	k a n . n a 3
กัลบก	k a n . l a 3 . b o k̚ 1
กัลปังหา	k a n . l a 3 . p a ŋ . h aː 4
กัลปาวสาน	k a n . l a 3 . p aː . w a 3 . s aː n 4
กัลยา	k a n . l a 3 . j aː
กัลยาณี	k a n . l a 3 . j aː . n iː
กัวลาลัมเปอร์	k u a̯ . l aː . l a m . p ɤː
กัวเตมาลา	k u a̯ . t eː . m aː . l aː
กัศมีร์	k a t̚ 1 . s a 1 . m iː 4
กั่น	k a n 1
กั้ง	k a ŋ 2
กั้น	k a n 2
กา	k aː
กาก	k aː k̚ 1
กากน้ำตาล	k aː k̚ 1 . n aː m 3 . t aː n
กากบาท	k aː . k a 1 . b aː t̚ 1
กากี	k aː . k iː
กากเพชร	k aː k̚ 1 . pʰ e t̚ 3
กาง	k aː ŋ
กางเกง	k aː ŋ . k eː ŋ
กางเกงขาสั้น	k aː ŋ . k eː ŋ . kʰ aː 4 . s a n 2
กางเกงใน	k aː ŋ . k eː ŋ . n a j
กางเขน	k aː ŋ . kʰ eː n 4
กาญจนบุรี	k aː n . t͡ɕ a 1 . n a 3 . b u 1 . r iː
กาญจนาภิเษก	k aː n . t͡ɕ a 1 . n aː . pʰ i 3 . s eː k̚ 1
